num_walks,walk_length,window,dropout,learning_rate,embeddings,validation,test
50,7,5,0.2,0.002,128,0.3097,0.2742
100,5,5,0.2,0.002,128,0.3082,0.2917
100,7,5,0.2,0.002,128,0.3056,0.2853
100,10,5,0.2,0.002,128,0.3033,0.2843
50,10,5,0.2,0.002,128,0.3027,0.2754
100,10,5,0.2,0.002,64,0.2911,0.2677
100,5,5,0.2,0.002,64,0.2896,0.2654
50,5,5,0.2,0.002,128,0.2885,0.2706
100,7,5,0.2,0.002,64,0.283,0.2611
50,7,5,0.2,0.002,64,0.2764,0.2599
50,10,5,0.2,0.002,64,0.2742,0.243
50,5,5,0.2,0.002,64,0.2717,0.245
