num_walks,walk_length,window,dropout,learning_rate,embeddings,validation,test
50,5,5,0.2,0.002,64,0.2676,0.2525
50,10,5,0.2,0.002,128,0.2642,0.2575
50,7,5,0.2,0.002,128,0.2624,0.2441
100,10,5,0.2,0.002,128,0.2622,0.2453
100,5,5,0.2,0.002,128,0.2616,0.2561
50,7,5,0.2,0.002,64,0.2614,0.2537
50,10,5,0.2,0.002,64,0.2568,0.2495
100,10,5,0.2,0.002,64,0.2568,0.241
100,7,5,0.2,0.002,64,0.2565,0.241
100,5,5,0.2,0.002,64,0.2551,0.2561
100,7,5,0.2,0.002,128,0.255,0.2453
50,5,5,0.2,0.002,128,0.2546,0.2449
